,concept:name,time:timestamp
1,Insert Fine Notification,2007-01-28 07:08:45.671125+00:00
1,Add penalty,2008-04-18 17:12:32.658761+00:00
1,Send for Credit Collection,2011-01-09 22:58:08.658761+00:00
54,Insert Fine Notification,2007-09-28 03:41:51.884390+00:00
54,Add penalty,2009-04-07 20:39:10.278634+00:00
54,Send for Credit Collection,2011-12-30 02:24:46.278634+00:00
114,Insert Fine Notification,2007-10-01 00:00:00+00:00
114,Add penalty,2008-12-29 00:26:12.790122+00:00
114,Send for Credit Collection,2011-09-21 06:11:48.790122+00:00
132,Insert Fine Notification,2007-09-28 19:35:44.275704+00:00
132,Add penalty,2008-10-13 01:54:51.658349+00:00
132,Send for Credit Collection,2011-07-06 07:40:27.658349+00:00
148,Insert Fine Notification,2007-09-13 22:40:10.480835+00:00
148,Add penalty,2008-10-06 11:37:35.160050+00:00
148,Send for Credit Collection,2011-06-29 17:23:11.160050+00:00
193,Insert Fine Notification,2007-09-15 00:00:00+00:00
193,Add penalty,2009-01-06 01:17:16.328267+00:00
193,Send for Credit Collection,2011-09-29 07:02:52.328267+00:00
195,Insert Fine Notification,2007-09-11 20:51:46.883950+00:00
195,Add penalty,2009-01-13 06:54:52.519291+00:00
195,Send for Credit Collection,2011-10-06 12:40:28.519291+00:00
204,Insert Fine Notification,2007-09-12 01:28:26.206558+00:00
204,Add penalty,2008-07-15 09:16:49.694908+00:00
204,Send for Credit Collection,2011-04-07 15:02:25.694908+00:00
213,Insert Fine Notification,2007-05-29 16:21:57.460392+00:00
213,Add penalty,2008-09-14 11:30:44.308147+00:00
213,Send for Credit Collection,2011-06-07 17:16:20.308147+00:00
252,Insert Fine Notification,2007-02-10 00:00:00+00:00
252,Add penalty,2008-05-16 10:04:10.063948+00:00
252,Send for Credit Collection,2011-02-06 15:49:46.063948+00:00
280,Insert Fine Notification,2007-09-14 01:53:19.407574+00:00
280,Add penalty,2008-12-22 00:56:01.535995+00:00
280,Send for Credit Collection,2011-09-14 06:41:37.535995+00:00
291,Insert Fine Notification,2007-09-14 10:07:58.673098+00:00
291,Add penalty,2008-12-28 08:54:27.322320+00:00
291,Send for Credit Collection,2011-09-20 14:40:03.322320+00:00
293,Insert Fine Notification,2007-09-14 22:03:57.972789+00:00
293,Add penalty,2009-01-26 08:35:51.765138+00:00
293,Send for Credit Collection,2011-10-19 14:21:27.765138+00:00
295,Insert Fine Notification,2007-09-12 07:37:10.719484+00:00
295,Add penalty,2009-04-05 08:07:51.606505+00:00
295,Send for Credit Collection,2011-12-27 13:53:27.606505+00:00
413,Insert Fine Notification,2007-02-24 17:44:20.158629+00:00
413,Add penalty,2008-05-12 15:27:36.051402+00:00
413,Send for Credit Collection,2011-02-02 21:13:12.051402+00:00
422,Insert Fine Notification,2007-09-14 06:55:59.761938+00:00
422,Add penalty,2008-10-06 13:10:13.183993+00:00
422,Send for Credit Collection,2011-06-29 18:55:49.183993+00:00
451,Insert Fine Notification,2007-09-09 11:34:01.464747+00:00
451,Add penalty,2009-02-07 11:35:54.575910+00:00
451,Send for Credit Collection,2011-10-31 17:21:30.575910+00:00
455,Insert Fine Notification,2007-09-12 17:22:29.177164+00:00
455,Add penalty,2008-09-07 10:14:27.233343+00:00
455,Send for Credit Collection,2011-05-31 16:00:03.233343+00:00
457,Insert Fine Notification,2007-09-14 02:14:20.516226+00:00
457,Add penalty,2008-07-03 04:18:51.071302+00:00
457,Send for Credit Collection,2011-03-26 10:04:27.071302+00:00
466,Insert Fine Notification,2007-11-23 12:24:23.409453+00:00
466,Add penalty,2009-06-23 11:47:10.568921+00:00
466,Send for Credit Collection,2012-03-15 17:32:46.568921+00:00
468,Insert Fine Notification,2007-09-12 18:51:43.038515+00:00
468,Add penalty,2008-10-01 07:51:47.881130+00:00
468,Send for Credit Collection,2011-06-24 13:37:23.881130+00:00
472,Insert Fine Notification,2007-10-12 18:24:30.056066+00:00
472,Add penalty,2009-01-16 21:11:46.960233+00:00
472,Send for Credit Collection,2011-10-10 02:57:22.960233+00:00
474,Insert Fine Notification,2007-09-11 12:23:49.475618+00:00
474,Add penalty,2008-09-28 00:03:18.861631+00:00
474,Send for Credit Collection,2011-06-21 05:48:54.861631+00:00
542,Insert Fine Notification,2007-09-13 16:58:59.790713+00:00
542,Add penalty,2009-02-13 06:13:36.015044+00:00
542,Send for Credit Collection,2011-11-06 11:59:12.015044+00:00
556,Insert Fine Notification,2007-09-07 11:35:31.028759+00:00
556,Add penalty,2008-12-09 14:56:52.384056+00:00
556,Send for Credit Collection,2011-09-01 20:42:28.384056+00:00
558,Insert Fine Notification,2007-09-14 20:48:15.767852+00:00
558,Add penalty,2009-01-09 12:56:02.568253+00:00
558,Send for Credit Collection,2011-10-02 18:41:38.568253+00:00
564,Insert Fine Notification,2007-09-09 05:34:47.917572+00:00
564,Add penalty,2009-04-05 21:18:08.759485+00:00
564,Send for Credit Collection,2011-12-28 03:03:44.759485+00:00
590,Insert Fine Notification,2007-09-13 08:27:08.333298+00:00
590,Add penalty,2008-10-02 00:22:17.378455+00:00
590,Send for Credit Collection,2011-06-25 06:07:53.378455+00:00
611,Insert Fine Notification,2007-09-14 18:55:07.667421+00:00
611,Add penalty,2009-01-03 21:49:31.193888+00:00
611,Send for Credit Collection,2011-09-27 03:35:07.193888+00:00
613,Insert Fine Notification,2007-09-14 10:07:58.673098+00:00
613,Add penalty,2008-12-28 08:54:27.322320+00:00
613,Send for Credit Collection,2011-09-20 14:40:03.322320+00:00
620,Insert Fine Notification,2007-09-12 07:37:10.719484+00:00
620,Add penalty,2009-04-05 08:07:51.606505+00:00
620,Send for Credit Collection,2011-12-27 13:53:27.606505+00:00
627,Insert Fine Notification,2007-09-09 21:54:49.268372+00:00
627,Add penalty,2008-11-14 02:56:41.594851+00:00
627,Send for Credit Collection,2011-08-07 08:42:17.594851+00:00
629,Insert Fine Notification,2007-09-13 03:59:18.280355+00:00
629,Add penalty,2008-12-24 06:27:20.901155+00:00
629,Send for Credit Collection,2011-09-16 12:12:56.901155+00:00
645,Insert Fine Notification,2007-09-09 00:03:23.768015+00:00
645,Add penalty,2008-10-18 11:59:09.216161+00:00
645,Send for Credit Collection,2011-07-11 17:44:45.216161+00:00
649,Insert Fine Notification,2007-09-14 10:07:58.673098+00:00
649,Add penalty,2008-12-28 08:54:27.322320+00:00
649,Send for Credit Collection,2011-09-20 14:40:03.322320+00:00
651,Insert Fine Notification,2007-09-14 04:13:24.604762+00:00
651,Add penalty,2008-08-11 01:41:06.866918+00:00
651,Send for Credit Collection,2011-05-04 07:26:42.866918+00:00
679,Insert Fine Notification,2007-09-10 08:37:15.066496+00:00
679,Add penalty,2009-02-17 20:45:54.029029+00:00
679,Send for Credit Collection,2011-11-11 02:31:30.029029+00:00
685,Insert Fine Notification,2007-09-28 22:20:39.425465+00:00
685,Add penalty,2009-04-29 18:22:45.536872+00:00
685,Send for Credit Collection,2012-01-21 00:08:21.536872+00:00
725,Insert Fine Notification,2007-09-09 21:42:11.140783+00:00
725,Add penalty,2008-08-03 20:34:53.912755+00:00
725,Send for Credit Collection,2011-04-27 02:20:29.912755+00:00
787,Insert Fine Notification,2007-09-11 08:58:42.733506+00:00
787,Add penalty,2008-11-12 08:52:55.704322+00:00
787,Send for Credit Collection,2011-08-05 14:38:31.704322+00:00
793,Insert Fine Notification,2007-09-14 13:46:55.229134+00:00
793,Add penalty,2009-04-04 15:20:31.758750+00:00
793,Send for Credit Collection,2011-12-26 21:06:07.758750+00:00
805,Insert Fine Notification,2007-09-27 01:22:14.155100+00:00
805,Add penalty,2009-04-03 18:19:47.797721+00:00
805,Send for Credit Collection,2011-12-26 00:05:23.797721+00:00
820,Insert Fine Notification,2007-09-10 04:23:48.164900+00:00
820,Add penalty,2008-08-25 03:07:24.178427+00:00
820,Send for Credit Collection,2011-05-18 08:53:00.178427+00:00
847,Insert Fine Notification,2007-09-30 09:25:48.880331+00:00
847,Add penalty,2008-08-26 07:32:52.319948+00:00
847,Send for Credit Collection,2011-05-19 13:18:28.319948+00:00
870,Insert Fine Notification,2007-09-26 14:12:18.275299+00:00
870,Add penalty,2008-11-01 05:00:18.389915+00:00
870,Send for Credit Collection,2011-07-25 10:45:54.389915+00:00
887,Insert Fine Notification,2007-08-20 05:24:01.114684+00:00
887,Add penalty,2008-09-17 18:48:28.998891+00:00
887,Send for Credit Collection,2011-06-11 00:34:04.998891+00:00
899,Insert Fine Notification,2007-09-11 13:10:59.023483+00:00
899,Add penalty,2008-08-26 21:13:25.659975+00:00
899,Send for Credit Collection,2011-05-20 02:59:01.659975+00:00
901,Insert Fine Notification,2007-09-10 06:59:55.001227+00:00
901,Add penalty,2008-10-17 17:40:42.660347+00:00
901,Send for Credit Collection,2011-07-10 23:26:18.660347+00:00
930,Insert Fine Notification,2007-05-31 23:52:53.890240+00:00
930,Add penalty,2008-07-01 16:53:43.873330+00:00
930,Send for Credit Collection,2011-03-24 22:39:19.873330+00:00
947,Insert Fine Notification,2007-11-09 16:11:20.733253+00:00
947,Add penalty,2009-06-28 03:02:08.734986+00:00
947,Send for Credit Collection,2012-03-20 08:47:44.734986+00:00
959,Insert Fine Notification,2007-11-12 00:00:00+00:00
959,Add penalty,2009-01-02 12:35:19.605937+00:00
959,Send for Credit Collection,2011-09-25 18:20:55.605937+00:00
966,Insert Fine Notification,2007-11-09 11:31:41.331551+00:00
966,Add penalty,2009-05-16 04:37:24.810643+00:00
966,Send for Credit Collection,2012-02-06 10:23:00.810643+00:00
968,Insert Fine Notification,2007-05-31 19:29:55.611370+00:00
968,Add penalty,2008-04-28 20:20:53.439821+00:00
968,Send for Credit Collection,2011-01-20 02:06:29.439821+00:00
1029,Insert Fine Notification,2008-02-25 00:00:00+00:00
1029,Add penalty,2009-06-18 01:17:16.328267+00:00
1029,Send for Credit Collection,2012-03-10 07:02:52.328267+00:00
1039,Insert Fine Notification,2007-09-13 11:25:00.672979+00:00
1039,Add penalty,2008-09-07 20:15:44.518491+00:00
1039,Send for Credit Collection,2011-06-01 02:01:20.518491+00:00
1046,Insert Fine Notification,2007-09-14 08:09:30.317431+00:00
1046,Add penalty,2008-06-15 08:31:47.114063+00:00
1046,Send for Credit Collection,2011-03-08 14:17:23.114063+00:00
1050,Insert Fine Notification,2007-06-02 23:11:30.363195+00:00
1050,Add penalty,2008-09-26 12:15:25.804478+00:00
1050,Send for Credit Collection,2011-06-19 18:01:01.804478+00:00
1111,Insert Fine Notification,2007-09-12 09:48:22.633434+00:00
1111,Add penalty,2009-01-08 04:59:44.279008+00:00
1111,Send for Credit Collection,2011-10-01 10:45:20.279008+00:00
1115,Insert Fine Notification,2007-05-29 16:03:31.018363+00:00
1115,Add penalty,2008-07-31 12:47:39.705815+00:00
1115,Send for Credit Collection,2011-04-23 18:33:15.705815+00:00
1122,Insert Fine Notification,2007-10-15 10:29:53.189329+00:00
1122,Add penalty,2008-10-04 14:27:03.018799+00:00
1122,Send for Credit Collection,2011-06-27 20:12:39.018799+00:00
1124,Insert Fine Notification,2007-09-11 22:02:22.057822+00:00
1124,Add penalty,2008-12-19 07:40:37.661728+00:00
1124,Send for Credit Collection,2011-09-11 13:26:13.661728+00:00
1176,Insert Fine Notification,2007-02-10 00:00:00+00:00
1176,Add penalty,2008-06-04 15:32:49.437428+00:00
1176,Send for Credit Collection,2011-02-25 21:18:25.437428+00:00
1178,Insert Fine Notification,2007-09-12 21:42:12.632549+00:00
1178,Add penalty,2008-12-18 18:57:36.166595+00:00
1178,Send for Credit Collection,2011-09-11 00:43:12.166595+00:00
1211,Insert Fine Notification,2007-09-14 12:25:38.306290+00:00
1211,Add penalty,2008-12-13 22:06:01.652385+00:00
1211,Send for Credit Collection,2011-09-06 03:51:37.652385+00:00
1213,Insert Fine Notification,2007-09-13 05:35:09.676106+00:00
1213,Add penalty,2008-12-08 19:58:13.179061+00:00
1213,Send for Credit Collection,2011-09-01 01:43:49.179061+00:00
1217,Insert Fine Notification,2007-09-14 20:48:15.767852+00:00
1217,Add penalty,2009-01-09 12:56:02.568253+00:00
1217,Send for Credit Collection,2011-10-02 18:41:38.568253+00:00
1225,Insert Fine Notification,2007-09-13 08:27:08.333298+00:00
1225,Add penalty,2008-10-02 00:22:17.378455+00:00
1225,Send for Credit Collection,2011-06-25 06:07:53.378455+00:00
1234,Insert Fine Notification,2007-09-07 06:47:37.732057+00:00
1234,Add penalty,2009-01-04 04:14:00.224787+00:00
1234,Send for Credit Collection,2011-09-27 09:59:36.224787+00:00
1243,Insert Fine Notification,2007-09-12 08:59:40.233442+00:00
1243,Add penalty,2008-09-28 18:47:22.168887+00:00
1243,Send for Credit Collection,2011-06-22 00:32:58.168887+00:00
1271,Insert Fine Notification,2007-09-09 05:34:47.917572+00:00
